subscription_id,user_id,plan_type,status,event_effective_ts,mrr_amount,currency
900019,106932,monthly,canceled,2026-04-04 22:46:36,9.99,USD
900020,101524,free_trial,trialing,2025-07-11T18:37:40Z,0.0,USD
900020,101524,monthly,active,2025-07-19T18:37:40Z,9.99,USD
900021,101460,monthly,active,2025-09-09T13:45:06Z,9.99,USD
900021,101460,monthly,expired,2026-01-05T13:45:06Z,9.99,USD
900022,104877,free_trial,trialing,2025-12-04 04:58:09,0.0,USD
900022,104877,free_trial,expired,2025-12-14T09:58:09Z,0.0,USD
900023,104187,annual,active,2025-07-05T19:05:25Z,79.99,USD
900024,103411,monthly,active,2025-07-27T22:00:28Z,9.99,USD
900025,104200,monthly,active,2025-10-30T00:06:46Z,9.99,USD
900026,107202,monthly,active,2026-01-25T08:04:01Z,9.99,USD
900027,107792,monthly,active,2026-02-06T11:01:59Z,9.99,USD
900028,105593,free_trial,trialing,2025-11-21T12:37:44Z,0.0,USD
900029,100867,free_trial,trialing,2025-10-25T03:33:15Z,0.0,USD
900029,100867,annual,active,2025-10-27 22:33:15,79.99,USD
900030,100480,free_trial,trialing,2025-08-24T06:59:11Z,0.0,USD
900030,100480,free_trial,expired,2025-09-04T06:59:11Z,0.0,USD
900031,106705,monthly,active,2025-10-19T05:25:32Z,9.99,USD
900031,106705,monthly,expired,2025-11-14T05:25:32Z,9.99,USD
900032,107613,annual,active,2025-08-15T14:05:53Z,79.99,USD
900033,103120,free_trial,trialing,2026-01-24 01:26:15,0.0,USD
900033,103120,free_trial,expired,2026-02-02T06:26:15Z,0.0,USD
900034,368343,monthly,active,2025-12-06T03:32:32Z,9.99,USD
900034,368343,monthly,canceled,2026-04-16T03:32:32Z,9.99,EUR
900035,102325,monthly,active,2025-11-20 11:02:37,9.99,USD
900036,102323,free_trial,trialing,2025-09-18 01:21:54,0.0,USD
900036,102323,monthly,active,2025-09-22T06:21:54Z,9.99,USD
900037,104928,free_trial,trialing,2025-07-21T17:33:19Z,0.0,USD
900037,104928,annual,active,2025-07-28 12:33:19,79.99,USD
900038,100922,monthly,active,2025-09-02T07:23:00Z,9.99,USD
900039,104412,monthly,active,2025-11-01T01:40:00Z,9.99,USD
900039,104412,monthly,expired,2026-03-06T01:40:00Z,9.99,USD
900040,107325,monthly,active,2025-08-17T10:33:22Z,9.99,USD
900041,106575,annual,active,2026-02-18T11:24:25Z,79.99,USD
900041,106575,annual,canceled,2026-02-07T11:24:25Z,79.99,USD
900042,101124,free_trial,trialing,2025-08-28T00:26:12Z,0.0,USD
900043,106856,annual,active,2025-08-30T15:43:36Z,79.99,USD
900044,102674,monthly,active,2026-02-16T15:34:43Z,9.99,USD
900045,101732,free_trial,trialing,2025-12-23T03:25:32Z,0.0,USD
900045,101732,free_trial,expired,2026-01-06T03:25:32Z,0.0,USD
900046,104210,annual,active,2025-07-29 18:14:08,79.99,USD
900047,101359,free_trial,trialing,2025-07-13T07:34:45Z,0.0,USD
900047,101359,monthly,active,2025-07-18 02:34:45,9.99,USD
900048,103173,free_trial,trialing,2025-11-06T12:34:24Z,0.0,USD
900048,103173,monthly,active,2025-11-20T12:34:24Z,9.99,USD
900049,103369,monthly,active,2025-08-19T18:06:42Z,9.99,USD
900049,103369,monthly,canceled,2025-11-07T18:06:42Z,9.99,USD
900050,373341,monthly,active,2025-07-29T22:05:10Z,9.99,USD
900051,101512,monthly,active,2025-09-06T15:18:01Z,9.99,USD
900052,102780,free_trial,trialing,2026-01-20 22:39:38,0.0,USD
900053,104264,free_trial,trialing,2026-01-17T04:48:09Z,0.0,USD
900053,104264,free_trial,expired,2026-01-28 23:48:09,0.0,USD
900054,314252,monthly,active,2025-12-03T16:38:32Z,9.99,USD
900054,314252,monthly,canceled,2026-04-04T16:38:32Z,9.99,USD
900055,107490,annual,active,2025-10-29T03:05:32Z,79.99,USD
900056,102824,monthly,active,2025-07-07 17:00:23,9.99,USD
900056,102824,monthly,canceled,2025-09-14T22:00:23Z,9.99,USD
900057,107762,annual,active,2025-10-01T19:59:57Z,79.99,USD
900057,107762,annual,canceled,2025-11-11T19:59:57Z,79.99,USD
900058,103709,monthly,active,2025-10-09T07:04:10Z,9.99,USD
900059,106378,annual,active,2025-11-04 11:40:25,79.99,EUR
900060,101871,free_trial,trialing,2025-12-17T11:14:11Z,0.0,USD
900060,101871,free_trial,expired,2025-12-29T11:14:11Z,0.0,USD
900061,101006,monthly,active,2025-12-30T02:52:01Z,9.99,USD
900061,101006,monthly,canceled,2026-04-15 21:52:01,9.99,USD
900062,106095,monthly,active,2026-01-25T13:36:00Z,9.99,USD
900063,107728,monthly,active,2026-01-14T03:44:49Z,9.99,USD
900063,107728,monthly,canceled,2026-03-11T03:44:49Z,9.99,USD
900064,103101,annual,active,2026-01-09T10:09:04Z,79.99,USD
900064,103101,annual,canceled,2026-03-13 05:09:04,79.99,USD
900065,103968,free_trial,trialing,2025-09-07T04:01:50Z,0.0,USD
900065,103968,free_trial,expired,2025-09-18T04:01:50Z,0.0,USD
900066,103806,monthly,active,2025-10-25T02:38:14Z,9.99,USD
900067,106911,free_trial,trialing,2026-01-28T12:04:37Z,0.0,USD
900067,106911,free_trial,expired,2026-02-10T12:04:37Z,0.0,USD
900068,102414,free_trial,trialing,2025-10-02T09:05:10Z,0.0,USD
900069,100837,monthly,active,2026-01-23T23:43:51Z,9.99,USD
900069,100837,monthly,expired,2026-03-24 18:43:51,9.99,USD
900070,101372,monthly,active,2025-09-25 14:28:25,9.99,USD
900071,100657,monthly,active,2026-01-24T23:24:38Z,9.99,USD
900072,102987,monthly,active,2025-08-29 21:20:44,9.99,USD
900072,102987,monthly,canceled,2025-10-15T02:20:44Z,9.99,USD
900073,107996,annual,active,2025-08-21T07:48:28Z,79.99,USD
900074,101087,monthly,active,2025-11-15 19:54:24,9.99,USD
900075,101177,annual,active,2025-10-27T04:01:11Z,79.99,USD
900075,101177,annual,canceled,2026-02-18T04:01:11Z,79.99,USD
900076,107344,free_trial,trialing,2025-08-01T23:34:15Z,0.0,USD
900076,107344,free_trial,expired,2025-08-13T23:34:15Z,0.0,USD
900077,106260,monthly,active,2025-07-12T10:31:30Z,9.99,USD
900078,107981,monthly,active,2025-11-25T14:36:28Z,9.99,USD
900079,107579,free_trial,trialing,2025-10-04T18:38:39Z,0.0,USD
900079,107579,monthly,active,2025-10-13 13:38:39,9.99,USD
900080,103550,monthly,active,2025-12-19 15:16:15,9.99,USD
900081,102770,free_trial,trialing,2025-08-04T22:03:07Z,0.0,USD
900081,102770,monthly,active,2025-08-11T22:03:07Z,9.99,USD
900082,105876,monthly,active,2025-12-09T21:12:35Z,9.99,USD
900082,105876,monthly,canceled,2026-04-21T21:12:35Z,9.99,USD
900083,102129,annual,active,2025-08-25 16:49:04,79.99,USD
900083,102129,annual,canceled,2025-08-20T21:49:04Z,79.99,USD
900084,101837,monthly,active,2025-11-23T22:41:25Z,9.99,USD
900085,106296,free_trial,trialing,2025-12-03T14:49:28Z,0.0,USD
900085,106296,free_trial,expired,2025-12-13T14:49:28Z,0.0,USD
900086,104702,monthly,active,2026-01-31T00:57:30Z,9.99,USD
900087,104649,free_trial,trialing,2025-11-25T12:02:23Z,0.0,USD
900087,104649,monthly,active,2025-11-28T12:02:23Z,9.99,USD
900088,106196,monthly,active,2026-01-27 21:29:56,9.99,USD
900088,106196,monthly,canceled,2026-04-12T02:29:56Z,9.99,USD
900089,103249,free_trial,trialing,2025-10-12T04:21:10Z,0.0,USD
900089,103249,free_trial,expired,2025-10-19T04:21:10Z,0.0,USD
900090,105515,monthly,active,2025-11-20T16:39:09Z,9.99,USD
900091,103200,monthly,active,2026-02-02T12:31:32Z,9.99,USD
900092,105292,free_trial,trialing,2025-08-19T02:46:27Z,0.0,USD
900092,105292,free_trial,expired,2025-09-02T02:46:27Z,0.0,USD
900093,107067,monthly,active,2025-08-02T20:15:32Z,9.99,USD
900093,107067,monthly,canceled,2025-09-04T20:15:32Z,9.99,USD
900094,106336,monthly,active,2026-02-05 15:51:54,9.99,USD
900094,106336,monthly,canceled,2026-02-21T20:51:54Z,9.99,USD
900095,100543,free_trial,trialing,2025-08-09T15:00:21Z,0.0,USD
900095,100543,free_trial,expired,2025-08-17T15:00:21Z,0.0,USD
900096,106238,annual,active,2025-08-17T13:59:22Z,79.99,USD
900097,104156,monthly,active,2025-07-11T11:47:09Z,9.99,USD
900098,107364,free_trial,trialing,2025-11-18T02:37:18Z,0.0,USD
900099,107185,monthly,active,2026-02-17T04:12:15Z,9.99,USD
900100,100428,monthly,active,2025-07-21T10:53:41Z,9.99,USD
900100,100428,monthly,canceled,2025-11-12T10:53:41Z,9.99,USD
900101,104988,free_trial,trialing,2025-08-08T07:27:44Z,0.0,USD
900101,104988,free_trial,expired,2025-08-15T07:27:44Z,0.0,USD
900102,106405,monthly,active,2026-01-06T22:34:46Z,9.99,USD
900103,106913,monthly,active,2025-09-22 04:41:20,9.99,USD
900104,107931,monthly,active,2026-01-01 20:42:11,9.99,USD
900105,100568,monthly,active,2025-11-29T05:47:50Z,9.99,USD
900106,105343,monthly,active,2025-09-20T10:58:45Z,9.99,USD
900106,105343,monthly,canceled,2025-10-20T10:58:45Z,9.99,USD
900107,102573,monthly,active,2025-12-30 10:11:28,9.99,USD
900107,102573,monthly,canceled,2026-03-30T15:11:28Z,9.99,USD
900108,100799,free_trial,trialing,2026-01-19 10:05:26,0.0,USD
900108,100799,annual,active,2026-01-30T15:05:26Z,79.99,USD
900109,105767,monthly,active,2026-01-10T20:26:51Z,9.99,USD
900109,105767,monthly,canceled,2026-05-27T20:26:51Z,9.99,USD
900110,103539,monthly,active,2025-09-05T14:24:49Z,9.99,USD
900111,106711,free_trial,trialing,2025-11-14 02:27:59,0.0,USD
900111,106711,monthly,active,2025-11-23T07:27:59Z,9.99,USD
900111,106711,monthly,canceled,2026-03-08T07:27:59Z,9.99,USD
900112,104264,monthly,active,2025-09-28T14:49:08Z,9.99,USD
900112,104264,monthly,canceled,2025-11-03T14:49:08Z,9.99,USD
900113,101731,annual,active,2025-08-29T04:50:42Z,79.99,USD
900114,100561,monthly,active,2025-11-01T17:08:30Z,9.99,USD
900114,100561,monthly,canceled,2025-11-25T17:08:30Z,9.99,USD
900115,101511,monthly,active,2025-09-27T00:17:48Z,9.99,USD
900116,104089,annual,active,2025-10-03T12:55:14Z,79.99,USD
900117,107976,monthly,active,2025-12-12T10:43:39Z,9.99,USD
900118,105256,free_trial,trialing,2025-09-20T02:24:44Z,0.0,USD
900118,105256,free_trial,expired,2025-09-30 21:24:44,0.0,USD
900119,101332,monthly,active,2025-11-29T12:50:05Z,9.99,USD
900120,100712,free_trial,trialing,2025-08-05T01:36:38Z,0.0,USD
900120,100712,free_trial,expired,2025-08-18T01:36:38Z,0.0,USD
900121,106913,monthly,active,2026-02-03T20:15:24Z,9.99,USD
900121,106913,monthly,canceled,2026-05-28T20:15:24Z,9.99,USD
900122,102511,monthly,active,2025-11-25T02:44:10Z,9.99,USD
900123,107861,monthly,active,2026-01-17T08:40:49Z,9.99,USD
900123,107861,monthly,expired,2026-04-23T08:40:49Z,9.99,USD
900124,102047,annual,active,2025-10-20T19:56:52Z,79.99,USD
900124,102047,annual,canceled,2025-10-06T19:56:52Z,79.99,USD
900125,106054,annual,active,2025-11-05T20:48:50Z,79.99,USD
900125,106054,annual,canceled,2026-01-03T20:48:50Z,79.99,USD
900126,105232,free_trial,trialing,2025-07-13T04:48:56Z,0.0,USD
900126,105232,annual,active,2025-07-20T04:48:56Z,79.99,USD
900127,103733,monthly,active,2026-01-24T12:24:39Z,9.99,USD
900128,103628,free_trial,trialing,2025-09-13T05:39:27Z,0.0,USD
900129,106026,monthly,active,2025-08-04 07:29:20,9.99,USD
900129,106026,monthly,canceled,2025-10-18T12:29:20Z,9.99,USD
900130,103506,monthly,active,2025-07-24 20:57:58,9.99,USD
900130,103506,monthly,canceled,2025-09-02T01:57:58Z,9.99,USD
900131,101915,free_trial,trialing,2025-11-25T12:52:58Z,0.0,USD
900131,101915,free_trial,expired,2025-12-06T12:52:58Z,0.0,USD
900132,104675,monthly,active,2025-08-31 01:45:10,9.99,USD
900133,102960,monthly,active,2025-11-27T03:35:09Z,9.99,USD
900134,105130,free_trial,trialing,2025-11-26T15:46:24Z,0.0,USD
900134,105130,free_trial,expired,2025-12-04T15:46:24Z,0.0,USD
900135,107938,monthly,active,2026-01-09T11:25:21Z,9.99,USD
900136,100773,annual,active,2026-01-21T19:02:08Z,79.99,USD
900136,100773,annual,expired,2026-05-06T19:02:08Z,79.99,USD
900137,103903,monthly,active,2025-09-10T17:38:30Z,9.99,USD
900138,101716,annual,active,2025-07-30T04:10:12Z,79.99,USD
900139,104804,monthly,active,2025-10-26T04:14:51Z,9.99,USD
900140,107406,annual,active,2025-07-09T22:10:59Z,79.99,USD
900140,107406,annual,canceled,2025-11-15T22:10:59Z,79.99,USD
900141,102825,monthly,active,2026-01-26 21:25:32,9.99,USD
900141,102825,monthly,canceled,2026-05-18T02:25:32Z,9.99,USD
900142,105147,monthly,active,2025-12-21T21:09:35Z,9.99,USD
900142,105147,monthly,expired,2026-01-30T21:09:35Z,9.99,USD
900143,105685,monthly,active,2026-01-09T16:22:31Z,9.99,USD
900144,107285,monthly,active,2025-11-18T06:03:35Z,9.99,USD
900144,107285,monthly,expired,2026-05-04T06:03:35Z,9.99,USD
900145,105402,monthly,active,2025-07-31T03:57:34Z,9.99,USD
900146,104428,annual,active,2025-10-11T10:09:18Z,79.99,USD
900147,107792,monthly,active,2025-12-06T15:49:14Z,9.99,USD
900147,107792,monthly,expired,2026-05-06T15:49:14Z,9.99,USD
900148,102898,monthly,active,2025-12-05T05:59:29Z,9.99,USD
900149,104106,monthly,active,2025-07-08T10:32:03Z,9.99,USD
900149,104106,monthly,canceled,2025-08-29T10:32:03Z,9.99,USD
900150,100316,free_trial,trialing,2026-02-09T11:15:31Z,0.0,USD
900150,100316,annual,active,2026-02-15T11:15:31Z,79.99,USD
900151,101239,monthly,active,2025-10-08 14:40:11,9.99,USD
900152,104554,monthly,active,2025-11-27T02:13:54Z,9.99,USD
900153,100120,monthly,active,2025-07-15T15:01:19Z,9.99,USD
900153,100120,monthly,canceled,2025-08-23T15:01:19Z,9.99,USD
900154,106513,monthly,active,2025-12-27T16:03:57Z,9.99,USD
900154,106513,monthly,canceled,2026-01-28 11:03:57,9.99,USD
900155,106770,annual,active,2025-09-28T08:02:47Z,79.99,USD
900155,106770,annual,expired,2026-04-04T08:02:47Z,79.99,USD
900156,102427,monthly,active,2025-08-12T00:29:31Z,9.99,USD
900157,102353,annual,active,2025-09-30T22:24:18Z,79.99,USD
900158,323489,monthly,active,2026-02-16T10:32:48Z,9.99,USD
900159,301510,annual,active,2026-01-05T01:36:27Z,79.99,USD
900160,102445,monthly,active,2025-09-20T22:29:32Z,9.99,USD
900161,104954,monthly,active,2025-08-07T09:10:31Z,9.99,USD
900161,104954,monthly,expired,2025-11-29T09:10:31Z,9.99,USD
900162,107525,monthly,active,2025-10-10 03:09:56,9.99,USD
900163,102587,monthly,active,2025-10-27T20:28:25Z,9.99,USD
900164,101421,monthly,active,2025-12-05T09:55:05Z,9.99,USD
900164,101421,monthly,canceled,2026-02-16T09:55:05Z,9.99,USD
900165,101157,annual,active,2025-12-19T16:37:48Z,79.99,USD
900166,100900,monthly,active,2026-01-01 23:02:47,9.99,USD
900166,100900,monthly,canceled,2026-05-08T04:02:47Z,9.99,USD
900167,101937,annual,active,2025-07-28T09:46:53Z,79.99,USD
900168,377943,annual,active,2026-01-03T23:49:15Z,79.99,USD
900168,377943,annual,canceled,2026-04-05T23:49:15Z,79.99,USD
900169,104264,free_trial,trialing,2025-11-29T08:41:43Z,0.0,USD
900169,104264,free_trial,expired,2025-12-11T08:41:43Z,0.0,USD
900170,104400,free_trial,trialing,2026-01-23T02:49:25Z,0.0,USD
900170,104400,monthly,active,2026-02-04 21:49:25,9.99,USD
900171,102186,free_trial,trialing,2025-07-04T16:02:34Z,0.0,USD
900172,101949,monthly,active,2026-01-24T00:03:07Z,9.99,USD
900172,101949,monthly,canceled,2026-03-27T00:03:07Z,9.99,USD
900173,100185,free_trial,trialing,2025-09-28T05:10:30Z,0.0,USD
900173,100185,annual,active,2025-10-05 00:10:30,79.99,USD
900174,100721,monthly,active,2025-11-12T02:13:41Z,9.99,USD
900175,102177,free_trial,trialing,2026-02-13 10:35:00,0.0,USD
900175,102177,annual,active,2026-02-19T15:35:00Z,79.99,USD
900176,107587,free_trial,trialing,2025-11-10T22:22:56Z,0.0,USD
900176,107587,annual,active,2025-11-15T22:22:56Z,79.99,USD
900177,104758,annual,active,2025-09-01T19:40:38Z,79.99,USD
900177,104758,annual,canceled,2025-12-22T19:40:38Z,79.99,USD
900178,104913,monthly,active,2025-09-24T18:14:21Z,9.99,USD
900178,104913,monthly,expired,2025-11-24T18:14:21Z,9.99,USD
900179,102916,free_trial,trialing,2025-08-17T20:11:08Z,0.0,USD
900179,102916,monthly,active,2025-08-29T20:11:08Z,9.99,USD
900180,102038,free_trial,trialing,2025-11-25T10:56:01Z,0.0,USD
900180,102038,monthly,active,2025-11-28 05:56:01,9.99,USD
900180,102038,monthly,canceled,2026-03-11T10:56:01Z,9.99,USD
900181,100701,free_trial,trialing,2025-07-03T19:57:28Z,0.0,USD
900182,106215,annual,active,2026-01-05T16:47:32Z,79.99,USD
900182,106215,annual,canceled,2026-04-16 11:47:32,79.99,USD
900183,105705,free_trial,trialing,2025-12-16T20:34:34Z,0.0,USD
900183,105705,annual,active,2025-12-24T20:34:34Z,79.99,USD
900184,103127,annual,active,2025-09-21T22:28:40Z,79.99,USD
900185,102076,annual,active,2026-02-14T13:14:50Z,79.99,USD
900186,106022,annual,active,2026-02-09 01:54:53,79.99,USD
900187,107642,monthly,active,2026-02-13T16:01:23Z,9.99,USD
900187,107642,monthly,canceled,2026-04-11T16:01:23Z,9.99,USD
900188,103613,free_trial,trialing,2026-01-28T10:33:38Z,0.0,USD
900188,103613,annual,active,2026-02-09T10:33:38Z,79.99,USD
900188,103613,annual,canceled,2026-06-02T10:33:38Z,79.99,USD
900189,101585,monthly,active,2025-12-02T16:21:17Z,9.99,USD
900189,101585,monthly,canceled,2026-03-06T16:21:17Z,9.99,USD
900190,102241,free_trial,trialing,2026-01-19T06:29:57Z,0.0,USD
900191,100094,monthly,active,2025-09-25T18:02:37Z,9.99,USD
900192,101838,free_trial,trialing,2026-01-07T13:24:22Z,0.0,USD
900192,101838,free_trial,expired,2026-01-19T13:24:22Z,0.0,USD
900193,104377,monthly,active,2025-07-23T06:25:01Z,9.99,USD
900194,105801,free_trial,trialing,2025-08-28T22:25:59Z,0.0,USD
900194,105801,monthly,active,2025-09-04T22:25:59Z,9.99,USD
900195,101059,free_trial,trialing,2026-01-27T01:26:43Z,0.0,USD
900195,101059,annual,active,2026-01-31T01:26:43Z,79.99,USD
900195,101059,annual,canceled,2026-04-03T01:26:43Z,79.99,USD
900196,107002,annual,active,2025-08-08 23:55:25,79.99,USD
900196,107002,annual,canceled,2025-12-14T04:55:25Z,79.99,USD
900197,101330,annual,active,2025-07-07 17:28:17,79.99,USD
900197,101330,annual,canceled,2025-11-26T22:28:17Z,79.99,USD
900198,100373,free_trial,trialing,2026-01-10T00:27:46Z,0.0,USD
900198,100373,free_trial,expired,2026-01-17T00:27:46Z,0.0,USD
900199,104089,free_trial,trialing,2026-01-18T13:34:55Z,0.0,USD
900199,104089,monthly,active,2026-01-22 08:34:55,9.99,USD
900200,107849,monthly,active,2025-08-10T18:57:27Z,9.99,USD
900201,107905,monthly,active,2025-08-29T17:46:59Z,9.99,USD
900202,103608,annual,active,2026-01-30T07:12:09Z,79.99,USD
900203,102713,monthly,active,2025-10-04T22:17:24Z,9.99,USD
900204,102551,annual,active,2025-12-03T13:21:55Z,79.99,USD
900205,101919,free_trial,trialing,2025-12-02 04:51:02,0.0,USD
900205,101919,free_trial,expired,2025-12-12T09:51:02Z,0.0,USD
900206,106508,monthly,active,2025-07-08T16:36:46Z,9.99,USD
900207,107657,annual,active,2025-12-09T15:15:10Z,79.99,USD
900208,107832,monthly,active,2025-09-10T21:05:02Z,9.99,USD
900208,107832,monthly,canceled,2026-02-02T21:05:02Z,9.99,USD
900209,100674,free_trial,trialing,2025-12-24T01:31:08Z,0.0,USD
900209,100674,free_trial,expired,2026-01-01T01:31:08Z,0.0,USD
900210,107236,monthly,active,2026-01-06 07:12:33,9.99,USD
900211,105904,monthly,active,2025-07-21T01:31:10Z,9.99,USD
900211,105904,monthly,canceled,2025-08-07T01:31:10Z,9.99,USD
900212,100437,annual,active,2025-12-04T06:39:19Z,79.99,USD
900213,105426,monthly,active,2025-11-11T19:59:12Z,9.99,USD
900213,105426,monthly,canceled,2026-01-29T19:59:12Z,9.99,USD
900214,105617,monthly,active,2025-11-03T02:42:45Z,9.99,USD
900215,100018,annual,active,2025-09-05T00:07:22Z,79.99,USD
900215,100018,annual,expired,2025-10-13T00:07:22Z,79.99,USD
900216,106523,annual,active,2025-11-24T02:33:53Z,79.99,USD
900217,100755,annual,active,2026-02-14T17:12:06Z,79.99,USD
900217,100755,annual,canceled,2026-05-28T17:12:06Z,79.99,USD
900218,106692,free_trial,trialing,2025-08-19T10:15:11Z,0.0,USD
900218,106692,monthly,active,2025-08-31T10:15:11Z,9.99,USD
900218,106692,monthly,canceled,2025-10-16T10:15:11Z,9.99,USD
900219,102464,monthly,active,2025-12-25T08:00:17Z,9.99,USD
900219,102464,monthly,canceled,2026-05-05T08:00:17Z,9.99,USD
900220,105405,monthly,active,2025-08-03T13:57:58Z,9.99,USD
900221,104076,free_trial,trialing,2025-12-20T17:36:53Z,0.0,USD
900222,103380,monthly,active,2025-10-14 05:53:06,9.99,USD
900223,100202,free_trial,trialing,2025-10-17T10:34:28Z,0.0,USD
900224,304601,monthly,active,2026-02-03T00:00:50Z,9.99,USD
900225,101647,monthly,active,2025-12-16 18:33:23,9.99,USD
900226,100690,monthly,active,2025-10-13T18:21:03Z,9.99,USD
900227,105746,free_trial,trialing,2025-12-20 05:15:12,0.0,USD
900227,105746,annual,active,2025-12-29T10:15:12Z,79.99,USD
900228,100914,free_trial,trialing,2025-08-01T05:29:43Z,0.0,USD
900228,100914,free_trial,expired,2025-08-12 00:29:43,0.0,USD
900229,101246,monthly,active,2025-08-27 00:43:17,9.99,USD
900230,103810,monthly,active,2026-01-04T14:39:48Z,9.99,USD
900230,103810,monthly,expired,2026-03-07T14:39:48Z,9.99,USD
900231,103396,monthly,active,2025-07-23T21:57:46Z,9.99,USD
900232,101933,annual,active,2026-02-01T07:48:37Z,79.99,USD
900233,105403,monthly,active,2025-08-21T23:01:04Z,9.99,USD
900233,105403,monthly,canceled,2026-01-09T23:01:04Z,9.99,USD
900234,106807,annual,active,2025-08-13T19:24:33Z,79.99,USD
900234,106807,annual,canceled,2025-09-14T19:24:33Z,79.99,USD
900235,103408,monthly,active,2026-01-05T03:54:04Z,9.99,USD
900236,101709,free_trial,trialing,2025-11-03T19:49:14Z,0.0,USD
900236,101709,monthly,active,2025-11-10T19:49:14Z,9.99,USD
900236,101709,monthly,canceled,2026-02-11T19:49:14Z,9.99,USD
900237,105859,monthly,active,2025-08-20T10:33:35Z,9.99,USD
900238,104404,monthly,active,2026-02-17 09:35:25,9.99,USD
900238,104404,monthly,canceled,2026-06-06T14:35:25Z,9.99,USD
900239,105117,free_trial,trialing,2026-02-18T11:20:34Z,0.0,USD
900239,105117,monthly,active,2026-02-23T11:20:34Z,9.99,USD
900240,106102,annual,active,2025-10-22T01:12:25Z,79.99,USD
900241,102495,monthly,active,2025-08-05T21:23:44Z,9.99,USD
900241,102495,monthly,canceled,2025-09-26 16:23:44,9.99,USD
900242,101119,monthly,active,2025-08-20T04:31:51Z,9.99,USD
900242,101119,monthly,expired,2026-01-27T04:31:51Z,9.99,USD
900243,105156,free_trial,trialing,2025-12-03T12:07:39Z,0.0,USD
900243,105156,annual,active,2025-12-15T12:07:39Z,79.99,USD
900244,103835,free_trial,trialing,2025-12-18T01:53:42Z,0.0,USD
900244,103835,annual,active,2025-12-21T01:53:42Z,79.99,USD
900244,103835,annual,canceled,2026-04-16T01:53:42Z,79.99,USD
900245,107127,annual,active,2025-11-05T19:47:27Z,79.99,USD
900246,102639,free_trial,trialing,2026-01-28T04:58:39Z,0.0,USD
900246,102639,monthly,active,2026-02-02T04:58:39Z,9.99,USD
900247,103965,free_trial,trialing,2025-08-29 01:54:31,0.0,USD
900247,103965,free_trial,expired,2025-09-08 01:54:31,0.0,USD
900248,101022,monthly,active,2025-08-02T22:06:15Z,9.99,EUR
900249,107067,monthly,active,2025-11-11 03:01:33,9.99,USD
900250,107451,monthly,active,2025-10-24T04:03:08Z,9.99,USD
900251,104456,annual,active,2025-08-03T19:09:16Z,79.99,USD
900252,103341,annual,active,2025-07-29 23:14:36,79.99,USD
900252,103341,annual,canceled,2025-12-07T04:14:36Z,79.99,USD
900253,107284,free_trial,trialing,2025-11-26 20:08:10,0.0,USD
900253,107284,annual,active,2025-12-02 20:08:10,79.99,USD
900253,107284,annual,canceled,2025-12-31T01:08:10Z,79.99,USD
900254,105746,annual,active,2025-07-04 09:04:59,79.99,USD
900255,105456,monthly,active,2025-12-10T14:59:03Z,9.99,USD
900255,105456,monthly,canceled,2026-02-19T14:59:03Z,9.99,USD
